full.filename.txt,ObjectID,Name,COUNTRY,YEAR,EVENTTYPE,INTERNALEVENTNUM,SOURCE,TRANSLATOR,PUBLISHER,PUBLISHER_LOCATION,COPYRIGHT,no.text,not.in.chronology,duplicated,language,not.available.in.english,filename,size
Canada_1875EnglishPrivate_166.txt,166,1875 Amendment to Canada's Constitution of 1867,Canada,1875,amendment,2082,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1875EnglishPrivate_166.txt,2750
Canada_1886EnglishPrivate_167.txt,167,1886 Amendment to Canada's Constitution of 1867,Canada,1886,amendment,2083,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1886EnglishPrivate_167.txt,2568
Canada_1893EnglishPrivate_9602.txt,9602,1893 Amendment to Canada's Constitution of 1867,Canada,1893,amendment,3488,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1893EnglishPrivate_9602.txt,9550
Canada_1907EnglishPrivate_168.txt,168,1907 Amendment to Canada's Constitution of 1867,Canada,1907,amendment,2084,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1907EnglishPrivate_168.txt,8415
Canada_1915EnglishPrivate_169.txt,169,1915 Amendment to Canada's Constitution of 1867,Canada,1915,amendment,2085,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1915EnglishPrivate_169.txt,3900
Canada_1916EnglishPrivate_9603.txt,9603,1916 Amendment to Canada's Constitution of 1867,Canada,1916,amendment,3489,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1916EnglishPrivate_9603.txt,3124
Canada_1927EnglishPrivate_9604.txt,9604,1927 Amendment to Canada's Constitution of 1867,Canada,1927,amendment,3490,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1927EnglishPrivate_9604.txt,12484
Canada_1930EnglishPrivate_9605.txt,9605,1930 Amendment to Canada's Constitution of 1867,Canada,1930,amendment,3491,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1930EnglishPrivate_9605.txt,229944
Canada_1940EnglishPrivate_170.txt,170,1940 Amendment to Canada's Constitution of 1867,Canada,1940,amendment,2086,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1940EnglishPrivate_170.txt,1555
Canada_1943EnglishPrivate_9606.txt,9606,1943 Amendment to Canada's Constitution of 1867,Canada,1943,amendment,3492,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1943EnglishPrivate_9606.txt,2550
